epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3372.72,1.00617,0.51634,1.068,0.9655,0.9375,0.97465,0.66443,1.17603,0.50931,1.15956,0.0007526,0.0007526,0.0007526
65,3424.37,0.99628,0.49529,1.06602,0.9545,0.94696,0.97364,0.67277,1.16291,0.50603,1.155,0.0007328,0.0007328,0.0007328
66,3476.25,1.04209,0.51668,1.09957,0.94855,0.95486,0.97747,0.67465,1.15975,0.50702,1.13309,0.000713,0.000713,0.000713
67,3527.91,1.00508,0.51462,1.07824,0.95176,0.95901,0.97297,0.67813,1.16435,0.48999,1.14995,0.0006932,0.0006932,0.0006932
68,3580.45,1.01807,0.50799,1.09019,0.95704,0.92814,0.97793,0.67383,1.16322,0.50593,1.14899,0.0006734,0.0006734,0.0006734
69,3634.28,0.99208,0.49291,1.06999,0.95444,0.94557,0.97366,0.67058,1.17687,0.50022,1.15668,0.0006536,0.0006536,0.0006536
70,3684.81,0.99172,0.49852,1.08086,0.96122,0.95139,0.97539,0.67684,1.15796,0.48943,1.15207,0.0006338,0.0006338,0.0006338
71,3734.89,0.98278,0.48068,1.05619,0.96758,0.93275,0.97216,0.68823,1.15576,0.4817,1.14723,0.000614,0.000614,0.000614
72,3786.42,0.99341,0.49499,1.06706,0.94259,0.95833,0.97811,0.67092,1.17875,0.49005,1.16697,0.0005942,0.0005942,0.0005942
73,3838,0.97736,0.49332,1.07031,0.93469,0.96528,0.97732,0.67842,1.17054,0.48941,1.16334,0.0005744,0.0005744,0.0005744
74,3891.51,0.96464,0.48242,1.06238,0.94217,0.96172,0.97687,0.69352,1.15333,0.48609,1.15493,0.0005546,0.0005546,0.0005546
75,3945.2,0.97757,0.48619,1.06722,0.95791,0.94097,0.97315,0.68265,1.1581,0.49538,1.14174,0.0005348,0.0005348,0.0005348
76,3996.65,0.96076,0.49658,1.05254,0.95737,0.95833,0.97835,0.68459,1.17379,0.48593,1.1561,0.000515,0.000515,0.000515
77,4048.83,0.95353,0.47853,1.05511,0.95596,0.94097,0.96897,0.67471,1.17726,0.48627,1.16025,0.0004952,0.0004952,0.0004952
78,4100.99,0.93045,0.46677,1.05367,0.97012,0.93403,0.96903,0.67944,1.15527,0.48554,1.15197,0.0004754,0.0004754,0.0004754
79,4154.59,0.94018,0.46704,1.0381,0.9446,0.96181,0.96977,0.67385,1.17148,0.48767,1.17155,0.0004556,0.0004556,0.0004556
80,4206.06,0.93478,0.47404,1.04845,0.95121,0.94777,0.97682,0.68292,1.18814,0.49612,1.17154,0.0004358,0.0004358,0.0004358
81,4258.53,0.92279,0.45548,1.042,0.95105,0.94456,0.97665,0.68649,1.17389,0.48098,1.1778,0.000416,0.000416,0.000416
82,4310.31,0.91486,0.45489,1.0328,0.96472,0.94952,0.97644,0.67719,1.16894,0.48173,1.17382,0.0003962,0.0003962,0.0003962
83,4361.59,0.90731,0.45417,1.03518,0.96239,0.94792,0.97456,0.67398,1.17179,0.49407,1.17683,0.0003764,0.0003764,0.0003764
84,4411.8,0.8863,0.44322,1.02209,0.95776,0.94477,0.97243,0.68289,1.18161,0.47933,1.18784,0.0003566,0.0003566,0.0003566
85,4465.25,0.88894,0.45396,1.01879,0.95784,0.94672,0.97511,0.68553,1.1604,0.47233,1.17279,0.0003368,0.0003368,0.0003368
86,4517.1,0.91843,0.46356,1.04404,0.95135,0.94792,0.9751,0.6889,1.15702,0.47184,1.157,0.000317,0.000317,0.000317
87,4568.9,0.88556,0.43311,1.01568,0.96774,0.93741,0.97638,0.69473,1.17053,0.46732,1.17243,0.0002972,0.0002972,0.0002972
